INE-PROV,INE-MUNI,INE-ISLA
07,024,071
07,026,072
07,046,072
07,048,072
07,050,072
07,054,072
07,001,073
07,003,073
07,004,073
07,005,073
07,006,073
07,007,073
07,008,073
07,009,073
07,010,073
07,011,073
07,012,073
07,013,073
07,014,073
07,016,073
07,017,073
07,018,073
07,019,073
07,020,073
07,021,073
07,022,073
07,025,073
07,027,073
07,028,073
07,029,073
07,030,073
07,031,073
07,033,073
07,034,073
07,035,073
07,036,073
07,038,073
07,039,073
07,040,073
07,041,073
07,042,073
07,043,073
07,044,073
07,045,073
07,047,073
07,049,073
07,051,073
07,053,073
07,055,073
07,056,073
07,057,073
07,058,073
07,059,073
07,060,073
07,061,073
07,062,073
07,063,073
07,065,073
07,901,073
07,002,074
07,015,074
07,023,074
07,032,074
07,037,074
07,052,074
07,064,074
07,902,074
38,013,382
38,048,382
38,901,382
35,003,351
35,007,351
35,014,351
35,015,351
35,017,351
35,030,351
35,001,352
35,002,352
35,005,352
35,006,352
35,008,352
35,009,352
35,011,352
35,012,352
35,013,352
35,016,352
35,019,352
35,020,352
35,021,352
35,022,352
35,023,352
35,025,352
35,026,352
35,027,352
35,031,352
35,032,352
35,033,352
38,002,381
38,003,381
38,021,381
38,036,381
38,049,381
38,050,381
38,007,383
38,008,383
38,009,383
38,014,383
38,016,383
38,024,383
38,027,383
38,029,383
38,030,383
38,033,383
38,037,383
38,045,383
38,047,383
38,053,383
35,004,353
35,010,353
35,018,353
35,024,353
35,028,353
35,029,353
35,034,353
38,001,384
38,004,384
38,005,384
38,006,384
38,010,384
38,011,384
38,012,384
38,015,384
38,017,384
38,018,384
38,019,384
38,020,384
38,022,384
38,023,384
38,025,384
38,026,384
38,028,384
38,031,384
38,032,384
38,034,384
38,035,384
38,038,384
38,039,384
38,040,384
38,041,384
38,042,384
38,043,384
38,044,384
38,046,384
38,051,384
38,052,384
