UID,INE-PROV
ES-PV-VI,01
ES-CM-AB,02
ES-VC-A,03
ES-AN-AL,04
ES-CL-AV,05
ES-EX-BA,06
ES-IB-PM,07
ES-CT-B,08
ES-CL-BU,09
ES-EX-CC,10
ES-AN-CA,11
ES-VC-CS,12
ES-CM-CR,13
ES-AN-CO,14
ES-GA-C,15
ES-CM-CU,16
ES-CT-GI,17
ES-AN-GR,18
ES-CM-GU,19
ES-PV-SS,20
ES-AN-H,21
ES-AR-HU,22
ES-AN-J,23
ES-CL-LE,24
ES-CT-L,25
ES-RI-LO,26
ES-GA-LU,27
ES-MD-M,28
ES-AN-MA,29
ES-MC-MU,30
ES-NC-NA,31
ES-GA-OR,32
ES-AS-O,33
ES-CL-P,34
ES-CN-GC,35
ES-GA-PO,36
ES-CL-SA,37
ES-CN-TF,38
ES-CB-S,39
ES-CL-SG,40
ES-AN-SE,41
ES-CL-SO,42
ES-CT-T,43
ES-AR-TE,44
ES-CM-TO,45
ES-VC-V,46
ES-CL-VA,47
ES-PV-BI,48
ES-CL-ZA,49
ES-AR-Z,50
ES-CE,51
ES-ML,52
