INE-PROV,INE-MUNI,ID,NOMBRE
46,250,01,Ciutat Vella
46,250,02,Eixample
46,250,03,Extramurs
46,250,04,Campanar
46,250,05,La Saidia
46,250,06,El Pla del Real
46,250,07,Olivereta
46,250,08,Patraix
46,250,09,Jesus
46,250,10,Quatre Carreres
46,250,11,Poblats Maritims
46,250,12,Camins al Grau
46,250,13,Algiros
46,250,14,Benimaclet
46,250,15,Rascanya
46,250,16,Benicalap
46,250,17,Pobles Nord
46,250,18,Pobles Oest
46,250,19,Pobles Sud
48,020,01,Deusto
48,020,02,Uribarri
48,020,03,Otxarkoaga / Txurdinaga
48,020,04,Begoña
48,020,05,Ibaiondo
48,020,06,Abando
48,020,07,Rekalde
48,020,08,Basurto / Zorroza
41,091,01,Casco Antiguo
41,091,02,Macarena
41,091,03,Nervión
41,091,04,Cerro - Amate
41,091,05,Sur
41,091,06,Triana
41,091,07,Norte
41,091,08,San Pablo - Santa Justa
41,091,09,Este - Alcosa - Torreblanca
41,091,10,Bellavista - La Palmera
41,091,11,Los Remedios
28,079,01,Centro
28,079,02,Arganzuela
28,079,03,Retiro 
28,079,04,Salamanca
28,079,05,Chamartin
28,079,06,Tetuan
28,079,07,Chamberi
28,079,08,Fuencarral
28,079,09,Moncloa
28,079,10,Latina
28,079,11,Carabanchel
28,079,12,Usera 
28,079,13,Puente de Vallecas
28,079,14,Moratalaz
28,079,15,Ciudad Lineal
28,079,16,Hortaleza
28,079,17,Villaverde
28,079,18,Villa de Vallecas 
28,079,19,Vicalvaro
28,079,20,San Blas
28,079,21,Barajas
08,019,01,Ciutat Vella
08,019,02,Ensanche
08,019,03,Sants-Montjuic
08,019,04,Les Corts
08,019,05,Sarrià-Sant Gervasi
08,019,06,Gracia
08,019,07,Horta-Guinardó
08,019,08,Nou Barris
08,019,09,Sant Andreu
08,019,10,Sant Martí
